Chaos Damage (Dragonborn Only),X,-,-,-,-,-,-,-,Destruction,10,19,"Weapons ""of Chaos""
Weapons ""of Extreme Chaos""
Weapons ""of High Chaos""
Weapons ""of Ultimate Chaos""
Champion's Cudgel",
Damage Stamina,X,-,-,-,-,-,-,-,Destruction,15,29,"Weapons ""of Debilitation""
Weapons ""of Exhaustion""
Weapons ""of Fatigue""
Weapons ""of Lethargy""
Weapons ""of Torpor""
Weapons ""of Weariness""
Froki's Bow",
Fear,X,-,-,-,-,-,-,-,	Illusion,"Level 10, for 30 seconds",16,"Weapons ""of Cowardice""
Weapons ""of Despair""
Weapons ""of Dismay""
Weapons ""of Dread""
Weapons ""of Fear""
Weapons ""of Terror""",
Fiery Soul Trap,X,-,-,-,-,-,-,-,Conjuration,"5 seconds
10 fire damage",11,Steel Battleaxe of Fiery Souls,
Fire Damage,X,-,-,-,-,-,-,-,Destruction,10,11,"Weapons ""of Burning""
Weapons ""of Scorching""
Weapons ""of Embers""
Weapons ""of Fire""
Weapons ""of Flames""
Weapons ""of the Blaze""
Weapons ""of the Inferno""",
Frost Damage,X,-,-,-,-,-,-,-,Destruction,"10
50% slow for 2 seconds",13,"Weapons ""of Chills""
Weapons ""of Blizzards""
Weapons ""of Cold""
Weapons ""of Freezing""
Weapons ""of Frost""
Weapons ""of Ice""
Weapons ""of Winter""
Aegisbane
Eduj
Firiniel's End
Grimsever
Okin",
Huntsman's Prowess,X,-,-,-,-,-,-,-,Destruction,Plus 3 damage vs. Animals,3,Poacher's Axe,
Magicka Damage,X,-,-,-,-,-,-,-,Destruction,15,15,"Weapons ""of Depleting""
Weapons ""of Diminishing'
Weapons ""of Draining""
Weapons ""of Enervating""
Weapons ""of Nullifying""
Weapons ""of Sapping""",
Paralyze,X,-,-,-,-,-,-,-,Alteration,26% chance for 2 secondds,34,"Weapons ""of Immobilizing""
Weapons """"of Petrifying""
Weapons ""of Stunning""",
Shock Damage,X,-,-,-,-,-,-,-,Destruction,10,14,"Weapons ""of Sparks""
Weapons ""of Arcing""
Weapons ""of Shocks""
Weapons ""of Thunderbolts""
Weapons ""of Lightning""
Weapons ""of Storms""",
Silent Moons Enchant,X,-,-,-,-,-,-,-,Destruction,Plus 10 damage between 9pm and 5am,5,"Lunar Iron Mace
Lunar Iron Sword
Lunar Iron War Axe
Lunar Steel Mace
Lunar Steel Sword
Lunar Steel War Axe",
Smithing Expertise,X,-,-,-,-,-,-,-,Destruction,"5 shock damage
+5 Smithing",11,Notched Pickaxe,
Soul Trap,X,-,-,-,-,-,-,-,Conjuration,4 seconds,9,"Weapons ""of Animus""
Weapons ""of Binding""
Weapons ""of Damnation""
Weapons ""of Malediction""
Weapons ""of Soul Snares""
Weapons ""of Souls""",
Turn Undead,X,-,-,-,-,-,-,-,Restoration,"Level 10, for 30 seconds",29,"Blessed weapons
Hallowed weapons
Holy weapons
Reverent weapons
Sanctified weapons
Virtuous weapons",
