Destruction Ritual Spell,Learn the most powerful Destruction spells in Skyrim.,Faralda,Faction Quest,College of Winterhold,Master Skill Quests,College of Winterhold,
Illusion Ritual Spell,Find some books about Illusion Magic to learn Master Spells.,Drevis Neloren,Faction Quest,College of Winterhold,Master Skill Quests,College of Winterhold,
Restoration Ritual Spell,Find the Augur of Dunlain and learn more about Restoration Magic.,Colette Marence,Faction Quest,College of Winterhold,Master Skill Quests,College of Winterhold,
Tending the Flames,Unveil the truth about a King; become a member of Bards College.,Viarmo,Faction Quest,Bards College,Side Quests,Bards College,
Investigate the Bards College,Investigate the Bards College.,Any Bard,Faction Quest,Bards College,Miscellaneous Quests,Bards College,
Finn's Lute,Return an invaluable lute to Inge Six Fingers.,Inge Six Fingers,Faction Quest,Bards College,Miscellaneous Quests,Bards College,
Pantea's Flute,Find a missing flute for Pantea.,Pantea Ateia,Faction Quest,Bards College,Miscellaneous Quests,Bards College,
Rjorn's Drum,Retrieve a drum for Giraud Gemane.,Giraud Gemane,Faction Quest,Bards College,Miscellaneous Quests,Bards College,
Rebuilding the Blades,Recruit new members for the Blades.,Delphine,Faction Quest,Blades,Miscellaneous Quests,,
Dragon Hunting,Kill a dragon at its lair.,Esbern,Faction Quest,Blades,Miscellaneous Quests,,
Dragon Research,Help Esbern complete his research on dragons.,Esbern,Faction Quest,Blades,Miscellaneous Quests,,
Take Up Arms,Prove you are worthy to join the Companions.,,Faction Quest,Companions,Main Quests,Whiterun,
Proving Honor,Claim a Fragment of Wuuthrad from Dustman's Cairn.,Skjor,Faction Quest,Companions,Main Quests,Whiterun,
The Silver Hand,Join the Circle and clear Gallows Rock of werewolf hunters.,Skjor,Faction Quest,Companions,Main Quests,Whiterun,
Blood's Honor,Claim the head of a Glenmoril Witch for Kodlak Whitemane.,Kodlak Whitemane,Faction Quest,Companions,Main Quests,Whiterun,
Purity of Revenge,Retrieve the Fragments of Wuuthrad.,Vilkas,Faction Quest,Companions,Main Quests,Whiterun,
Glory of the Dead,Cure Kodlak's spirit and prove yourself as a true Companion.,Vilkas,Faction Quest,Companions,Main Quests,Whiterun,
Animal Extermination,Fulfill a Companion contract to kill an invading beast.,Aela,Faction Quest,Companions,Aela Radiant Quests,Whiterun,
Animal Extermination,Fulfill a Companion contract to clear out a beast den.,Aela,Faction Quest,Companions,Aela Radiant Quests,Whiterun,
Striking the Heart,Assassinate a Silver Hand leader.,Aela,Faction Quest,Companions,Aela Radiant Quests,Whiterun,
Stealing Plans,Search a Silver Hand hideout for information on their headquarters.,Aela,Faction Quest,Companions,Aela Radiant Quests,Whiterun,
Retrieval,Retrieve a fragment of Wuuthrad. Unavailable after Glory of the Dead.,Aela,Faction Quest,Companions,Aela Radiant Quests,Whiterun,
Totems of Hircine,Find a Totem of Hircine. Only available if you are a werewolf.,Aela,Faction Quest,Companions,Aela Radiant Quests,Whiterun,
Hired Muscle,Fulfill a Companion contract bring a citizen back in line.,Farkas,Faction Quest,Companions,Farkas Radiant Quests,Whiterun,
Trouble in Skyrim,Fulfill a Companion contract to clear out a troublesome area.,Farkas,Faction Quest,Companions,Farkas Radiant Quests,Whiterun,
Family Heirloom,Fulfill a Companion contract to retrieve a stolen family heirloom.,Skjor or Vilkas,Faction Quest,Companions,Skjor/Vilkas Radiant Quests,Whiterun,
Escaped Criminal,Fulfill a Companion contract to hunt down an escaped criminal.,Skjor or Vilkas,Faction Quest,Companions,Skjor/Vilkas Radiant Quests,Whiterun,
Rescue Mission,Fulfill a Companion contract to rescue a kidnapped citizen.,Skjor or Vilkas,Faction Quest,Companions,Skjor/Vilkas Radiant Quests,Whiterun,
Purity,Help a member of the Circle give up their beast hood.,Skjor or Vilkas,Faction Quest,Companions,Skjor/Vilkas Radiant Quests,Whiterun,
Dragon Seekers,Go to a dragon lair with Farkas or Vilkas and kill the dragon.,Skjor or Vilkas,Faction Quest,Companions,Skjor/Vilkas Radiant Quests,Whiterun,
Delayed Burial (optional),Convince farmer to help a stranded jester outside of Whiterun.,Cicero,Faction Quest,The Dark Brotherhood,Main Quests,,
Innocence Lost,Help an orphaned child avoid being returned to a caretaker.,Aventus Aretino,Faction Quest,The Dark Brotherhood,Main Quests,,
With Friends Like These...,Show you are willing to kill on command.,,Faction Quest,The Dark Brotherhood,Main Quests,,
Sanctuary,Pick up your first contracts as a Brotherhood member.,Astrid,Faction Quest,The Dark Brotherhood,Main Quests,,
Mourning Never Comes,Help Muiri get her revenge.,Astrid,Faction Quest,The Dark Brotherhood,Main Quests,,
Whispers in the Dark,Spy on the Night Mother's keeper.,Astrid,Faction Quest,The Dark Brotherhood,Main Quests,,
The Silence Has Been Broken,Meet Amaund Motierre inside Volunruud.,Astrid,Faction Quest,The Dark Brotherhood,Main Quests,,
Bound Until Death,Assassinate Vittoria Vici at her own wedding.,Astrid,Faction Quest,The Dark Brotherhood,Main Quests,,
Breaching Security,Kill and frame the son of a high-ranking Imperial guard.,Astrid,Faction Quest,The Dark Brotherhood,Main Quests,,
The Cure for Madness,Confront the traitor among the Dark Brotherhood.,Gabriella,Faction Quest,The Dark Brotherhood,Main Quests,,
Recipe for Disaster,Assume the identity of the famous Gourmet.,Astrid,Faction Quest,The Dark Brotherhood,Main Quests,,
To Kill an Empire,Attempt to assassinate the Emperor.,Astrid,Faction Quest,The Dark Brotherhood,Main Quests,,
Death Incarnate,Assist Brotherhood members in the fight against assault.,,Faction Quest,The Dark Brotherhood,Main Quests,,
Hail Sithis!,Fulfill the biggest contract in Brotherhood history.,Night Mother,Faction Quest,The Dark Brotherhood,Main Quests,,
Destroy the Dark Brotherhood!,Finish the Dark Brotherhood and rid Skyrim of their kind.,After killing Astrid,Faction Quest,The Dark Brotherhood,Other Quests,,
Where You Hang Your Enemy's Head…,Restore the Dark Brotherhood's sanctuary.,Nazir,Faction Quest,The Dark Brotherhood,Other Quests,,
Honor Thy Family,Regain the trust of your fellow Assassins.,Nazir,Faction Quest,The Dark Brotherhood,Radiant Quests,,
The Dark Brotherhood Forever,Yet another child has prayed to their mother.,Night Mother,Faction Quest,The Dark Brotherhood,Radiant Quests,,
Kill Narfi,Kill a hapless beggar in Ivarstead.,Nazir,Faction Quest,The Dark Brotherhood,Contract Quests,,
Kill Beitild,Resolve a feud in Dawnstar.,Nazir,Faction Quest,The Dark Brotherhood,Contract Quests,,
Kill Ennodius Papius,Kill Ennodius Papius.,Nazir,Faction Quest,The Dark Brotherhood,Contract Quests,,
Kill Hern,"Kill Hern, a reclusive vampire.",Nazir,Faction Quest,The Dark Brotherhood,Contract Quests,,
Kill Lurbuk,"Silence a terrible bard, permanently.",Nazir,Faction Quest,The Dark Brotherhood,Contract Quests,,
Kill Deekus,Slay an Argonian looting a shipwreck.,Nazir,Faction Quest,The Dark Brotherhood,Contract Quests,,
Kill Ma'randru-jo,Fulfill a Dark Brotherhood contract assassinate Ma'randru-jo.,Nazir,Faction Quest,The Dark Brotherhood,Contract Quests,,
Kill Anoriath,Fulfill a Dark Brotherhood contract assassinate Anoriath.,Nazir,Faction Quest,The Dark Brotherhood,Contract Quests,,
Kill Agnis,Fulfill a Dark Brotherhood contract assassinate Agnis.,Nazir,Faction Quest,The Dark Brotherhood,Contract Quests,,
Kill Maluril,Kill Maluril in Mzinchaleft.,Nazir,Faction Quest,The Dark Brotherhood,Contract Quests,,
Kill Helvard,Fulfill a Dark Brotherhood contract assassinate Helvard.,Nazir,Faction Quest,The Dark Brotherhood,Contract Quests,,
Kill Safia,Kill a pirate captain on her own ship.,Nazir,Faction Quest,The Dark Brotherhood,Contract Quests,,
Locate the Assassin of Old,"Find Dark Brotherhood Assassin. 

(Quest activates if you successfully completed Breaching Security and received a bonus from Gabriella.)",Olava the Feeble,Faction Quest,The Dark Brotherhood,Miscellaneous Quests,,
,,,Faction Quest,The Dark Brotherhood,Miscellaneous Quests,,
,,,Faction Quest,The Dark Brotherhood,Miscellaneous Quests,,
Take the Hidden Treasure,"Torture the Brotherhood's prisoners for treasure.

(This quest activates after purchasing the torture room for the Dawnstar Sanctuary.)",Torture Victims,Faction Quest,The Dark Brotherhood,Miscellaneous Quests,,
A Chance Arrangement,Help teach a merchant to mind his own business.,Brynjolf,Faction Quest,Thieves Guild,Main Quests,Riften,
Taking Care of Business,Help Brynjolf collect some debts for the Thieves Guild.,Brynjolf,Faction Quest,Thieves Guild,Main Quests,Riften,
Loud and Clear,Send a message to a former Thieves Guild client.,Brynjolf,Faction Quest,Thieves Guild,Main Quests,Riften,
Dampened Spirits,Put Maven Black-Briar's competition out of business.,"Brynjolf or 
Maven",Faction Quest,Thieves Guild,Main Quests,Riften,
Scoundrel's Folly,Squeeze a reluctant informer for information.,Mercer Frey,Faction Quest,Thieves Guild,Main Quests,Riften,
Speaking With Silence,Track down the Dunmer behind the Guild's misfortunes.,Mercer Frey,Faction Quest,Thieves Guild,Main Quests,Riften,
Hard Answers,Help translate Gallus' journal.,Enthir,Faction Quest,Thieves Guild,Main Quests,Riften,
The Pursuit,Break into Mercer Frey's house and search for clues.,Brynjolf,Faction Quest,Thieves Guild,Main Quests,Riften,
Trinity Restored,"Become one of the Nightingales, Nocturnal's guardians.",Karliah,Faction Quest,Thieves Guild,Main Quests,Riften,
Blindsighted,Stop Mercer Frey.,Brynjolf,Faction Quest,Thieves Guild,Main Quests,Riften,
Darkness Returns,Return the Skeleton Key to its rightful place. (Daedric Quest),Karliah,Faction Quest,Thieves Guild,Main Quests,Riften,
Under New Management,Become the Guild master of the Thieves Guild.,Brynjolf,Faction Quest,Thieves Guild,Main Quests,Riften,
Meet the Family,Speak with guild members and pick up your gear.,Brynjolf,Faction Quest,Thieves Guild,Other Quests,Riften,
No Stone Unturned,Find the 24 gems to restore the Crown of Barenziah.,,Faction Quest,Thieves Guild,Other Quests,Riften,
Reparations,Make reparations for breaking the Thieves Guild rules.,Breaking guild rules,Faction Quest,Thieves Guild,Other Quests,Riften,
Thieves Guild Caravan Fence Quest,Deliver Moon Sugar to Ri'saad.,Tonilia,Faction Quest,Thieves Guild,Other Quests,Riften,
Toying With The Dead,Retrieve a necromancer's journals for an interested buyer.,Vekel the Man,Faction Quest,Thieves Guild,Other Quests,Riften,
The Litany of Larceny Targets,Find all seven Larceny Targets and sell them to Delvin. (Listed Below),Delvin,Faction Quest,Thieves Guild,Other Quests,Riften,
Bust of the Gray Fox,Riften: Riftweald Manor,,Faction Quest,Thieves Guild,Other Quests,Riften,
Dwemer Puzzle Cube,Markarth: Understone Keep,,Faction Quest,Thieves Guild,Other Quests,Riften,
East Empire Shipping Map,Solitude: East Empire Company Warehouse,,Faction Quest,Thieves Guild,Other Quests,Riften,
Honningbrew Decanter,Whiterun: Honningbrew Meadery,,Faction Quest,Thieves Guild,Other Quests,Riften,
Left Eye of the Falmer,West of Windhelm: Irkngthand,,Faction Quest,Thieves Guild,Other Quests,Riften,
Model Ship,North of Windhelm: Snow Veil Sanctum,,Faction Quest,Thieves Guild,Other Quests,Riften,
Queen Bee Statue,Riften: Goldenglow Estate,,Faction Quest,Thieves Guild,Other Quests,Riften,
Silver Lining,Recover a stolen silver mold for a silversmith in Markarth.,Delvin,Faction Quest,Thieves Guild,Reputation Quests,Riften,
The Dainty Sload,Frame a ship's captain for a jilted merchant in Solitude.,Delvin,Faction Quest,Thieves Guild,Reputation Quests,Riften,
Imitation Amnesty,Help get a convicted prisoner released from jail in Whiterun.,Delvin,Faction Quest,Thieves Guild,Reputation Quests,Riften,
Summerset Shadows,Remove a rival guild from the picture in Windhelm.,Delvin,Faction Quest,Thieves Guild,Reputation Quests,Riften,
Joining the Legion,Prove yourself worthy to join the Imperial Legion.,Legate Rikke,Faction Civil War Quests,Imperial Legion,,,
The Jagged Crown,Find the Jagged Crown for the Imperials.,General Tullius,Faction Civil War Quests,Imperial Legion,,,
Message to Whiterun,Deliver the message that will decide Whiterun's allegiance.,,Faction Civil War Quests,Imperial Legion,,,
Battle for Whiterun,Protect Whiterun from the Stormcloak invasion.,General Tullius,Faction Civil War Quests,Imperial Legion,,,
Reunification of Skyrim,Re-unite Skyrim under the leadership of the Empire.,Legate Rikke,Faction Civil War Quests,Imperial Legion,,,
A False Front,Find and deliver some forged documents to the Stormcloaks.,Legate Rikke,Faction Civil War Quests,Imperial Legion,,,
The Battle for Fort Dunstad,Regain the Pale for the Imperials.,Legate Rikke,Faction Civil War Quests,Imperial Legion,,,
Compelling Tribute,Use a corrupt steward to gain intelligence on the Stormcloaks.,Legate Rikke,Faction Civil War Quests,Imperial Legion,,,
The Battle for Fort Greenwall,Take Fort Greenwall for the Imperials.,Legate Rikke,Faction Civil War Quests,Imperial Legion,,,
The Battle for Fort Sungard,Take Fort Sungard for the Imperials.,Legate Rikke,Faction Civil War Quests,Imperial Legion,,,
Rescue from Fort Kastav,Rescue the prisoners and regain Winterhold Hold for the Imperials.,Legate Rikke,Faction Civil War Quests,Imperial Legion,,,
The Battle for Fort Snowhawk,Take Fort Snowhawk for the Imperials.,Legate Rikke,Faction Civil War Quests,Imperial Legion,,,
The Battle for Fort Amol,Prepare for the final assault on Windhelm.,Legate Rikke,Faction Civil War Quests,Imperial Legion,,,
Battle for Windhelm,Conquer the Stormcloak capital and bring Ulfric to justice.,Legate Rikke,Faction Civil War Quests,Imperial Legion,,,
Joining the Stormcloaks,Prove yourself worthy of being a Stormcloak rebel.,Ulfric Stormcloak,Faction Civil War Quests,Stormcloaks,,,
The Jagged Crown,Find this crown for Ulfric Stormcloak.,"Galmar
Stone-Fist",Faction Civil War Quests,Stormcloaks,,,
Message to Whiterun,Deliver an axe to the Jarl of Whiterun.,Ulfric Stormcloak,Faction Civil War Quests,Stormcloaks,,,
Battle for Whiterun,Take Whiterun in the name of the Stormcloaks.,Ulfric Stormcloak,Faction Civil War Quests,Stormcloaks,,,
Liberation of Skyrim,Overarching quest governing the individual battles of the war.,Ulfric Stormcloak,Faction Civil War Quests,Stormcloaks,,,
Rescue from Fort Neugrad,Rescue Stormcloak soldiers from the Imperials and capture the fort.,"Galmar
Stone-Fist",Faction Civil War Quests,Stormcloaks,,,
Compelling Tribute,Blackmail a Talos worshipper into helping the Stormcloaks.,"Galmar
Stone-Fist",Faction Civil War Quests,Stormcloaks,,,
The Battle for Fort Sungard,Take this fort in the name of the Stormcloaks.,"Galmar
Stone-Fist",Faction Civil War Quests,Stormcloaks,,,
A False Front,Find and deliver some forged documents to the Imperials.,"Galmar
Stone-Fist",Faction Civil War Quests,Stormcloaks,,,
The Battle for Fort Snowhawk,Take this fort for the Stormcloaks.,"Galmar
Stone-Fist",Faction Civil War Quests,Stormcloaks,,,
The Battle for Fort Dunstad,Take this fort for the Stormcloaks.,"Galmar
Stone-Fist",Faction Civil War Quests,Stormcloaks,,,
The Battle for Fort Greenwall,Take this fort for the Stormcloaks.,"Galmar
Stone-Fist",Faction Civil War Quests,Stormcloaks,,,
The Battle for Fort Kastav,Take this fort for the Stormcloaks.,"Galmar
Stone-Fist",Faction Civil War Quests,Stormcloaks,,,
The Battle for Fort Hraggstad,Take this fort for the Stormcloaks.,"Galmar
Stone-Fist",Faction Civil War Quests,Stormcloaks,,,
Battle for Solitude,The final push to free Skyrim of the Imperials.,"Galmar
Stone-Fist",Faction Civil War Quests,Stormcloaks,,,
Visit the Shrine of Azura,Visit the Shrine of Azura.,Aranea Lenith,Daedric Quests,Azura,,,
The Black Star,Help find and repair Azura's Star.,Aranea Lenith,Daedric Quests,Azura,,,
Investigate the Boethiah cultist,Investigate the Boethiah cultist.,Boethiah's Proving,Daedric Quests,Boethia,,,
Boethiah's Calling,Become Boethiah's new champion.,Boethiah's Proving,Daedric Quests,Boethia,,,
Speak to Lod,Speak to Lod in Falkreath.,Barbas,Daedric Quests,Clavicus Vile,,,
A Daedra's Best Friend,Help Barbas reunite with his master.,Barbas,Daedric Quests,Clavicus Vile,,,
Discerning the Transmundane,Uncover the secrets of the mysterious Dwemer lockbox.,Septimus Signus,Daedric Quests,Hermaeus Mora,,,
Speak to Mathies or Sinding,Speak to Mathies in Falkreath or to Sinding in Falkreath Jail.,Mathies or Sinding,Daedric Quests,Hircine,,,
Ill Met By Moonlight,Hunt in Hircine's name.,Mathies or Sinding,Daedric Quests,Hircine,,,
The Cursed Tribe,Help lift the curse placed on the Orcs of Largashbur by Malacath.,Atub,Daedric Quests,Malacath,,,
Visit the museum in Dawnstar,Visit the museum in Dawnstar.,Silus Vesuius,Daedric Quests,Mehrunes Dagon,,,
Pieces of the Past,Retrieve and reforge the scattered pieces of Mehrunes' Razor.,Silus Vesuius,Daedric Quests,Mehrunes Dagon,,,
Ask about Balgruuf's strange children,Ask about Balgruuf's strange children.,Jarl Balgruuf,Daedric Quests,Mephala,,,
The Whispering Door,Investigate Nelkir's story of a Whispering Lady.,Jarl Balgruuf,Daedric Quests,Mephala,,,
The Break of Dawn,Find Meridia's Beacon and cleanse her temple of undead.,Meridia,Daedric Quests,Meridia,,,
Speak to the Witchhunter,Speak to the witchhunter about the abandoned house.,Vigilant Tyranus,Daedric Quests,Molag Bal,,,
The House of Horrors,Help Molag Bal take revenge upon a servant of Boethiah.,Vigilant Tyranus,Daedric Quests,Molag Bal,,,
Investigate the Hall of the Dead,Investigate the Hall of the Dead in Markarth.,"Kleppr, Verulus, Eola",Daedric Quests,Namira,,,
The Taste of Death,Prepare a Feast for the Lady of Decay.,"Kleppr, Verulus, Eola",Daedric Quests,Namira,,,
Darkness Returns (thieves guild),Return the Skeleton Key to its rightful place.,Karliah,Daedric Quests,Nocturnal,,,
Find Kesh at the Peryite Shrine,Find Kesh at the Peryite Shrine.,Kesh the Clean,Daedric Quests,Peryite,,,
The Only Cure,Slay an apostate worshipper for the Daedra Lord Peryite.,Kesh the Clean,Daedric Quests,Peryite,,,
Drink with Sam,Participate in a drinking contest with Sam Guevenne.,Sam Guevenne,Daedric Quests,Sanguine,,,
A Night To Remember,"Find your lost friend, Sam, as you recover from a bad hangover.",Sam Guevenne,Daedric Quests,Sanguine,,,
Investigate Dervenin,Investigate the man wandering the streets near the Bards College.,Dervenin,Daedric Quests,Sheogorath,,,
The Mind of Madness,Gain access to and solve the mystery of the Pelagius Wing.,Dervenin,Daedric Quests,Sheogorath,,,
Waking Nightmare,Relieve the people of Dawnstar from Vaermina's curse.,Erandur,Daedric Quests,Vaermina,,,
Kyne's Sacred Trials,Participate in the trials by hunting the guardian beasts of Skyrim.,Whetted-Blade,Divine Quests,,,,
The Blessings of Nature,Restore the Gildergreen for Danica Pure-Spring in Whiterun.,Danica Pure-Spring,Divine Quests,,,,
The Book of Love,Help the Temple of Mara of Riften spread the cause of love.,Dinya Balu,Divine Quests,,,,
The Heart of Dibella,Find a new Sybil for the Temple of Dibella in Markarth.,Hamal,Divine Quests,,,,
Angarvunde,Discover the treasure of Angarvunde.,,Dungeon Quests,Angarvunde - A Nordic tomb at the foot of the mountains directly west of Riften and slightly northwest of Avanchnzel.,,Angarvunde,
Ansilvund,Kill Lu'ah Al-Skaven in Ansilvund.,,Dungeon Quests,Ansilvund Excavation - A Nordic ruin situated northeast of Shor's Stone.,,Ansilvund,
The Affairs of Hagravens,Help an imprisoned hagraven reclaim her lost tower.,Melka,Dungeon Quests,Blind Cliff Bastion - A cave southwest of Karthwasten along the banks of the Karth River containing Forsworn.,,Blind Cliff Bastion,
Repentance,Help Illia prevent her mother Silvia from transforming into a hagraven.,Illia,Dungeon Quests,Darklight Tower - A tower southwest of Riften that is nested by hagravens and their ilk.,,Darklight Tower,
Forbidden Legend,Investigate the forgotten Gauldur Legend.,,Dungeon Quests,Folgunthur - A Nordic ruin located southeast of Solitude.,,Folgunthur,
Siege on the Dragon Cult,Enter the ruins of Forelhost and recover Rahgot's mask.,Captain Valmir,Dungeon Quests,Forelhost Crypt - A ruined fortress on a peak southeast of Riften which contains a word wall for the Storm Call shout.,,Forelhost Crypt,
Frostflow Abyss,Uncover the tragic events inside Frostflow Lighthouse.,,Dungeon Quests,Frostflow Abyss - A lighthouse located west of Winterhold in the north of Skyrim.,,Frostflow Abyss,
The Pale Lady,Find out what happened in Frostmere Crypt.,,Dungeon Quests,Frostmere Crypt - A Nordic ruin south-southwest of Dawnstar and just northeast of the Lord Stone.,,Frostmere Crypt,
A Scroll For Anska,Help Anska trace her roots in High Gate Ruins.,Anska,Dungeon Quests,"High Gate Ruins - A Nordic ruin directly west of Dawnstar, and a short distance east of the Wreck of the Icerunner.",,High Gate Ruins,
Ancestral Worship,Stop a necromancer from defiling Golldir's ancestral barrow.,Golldir,Dungeon Quests,Hillgrund's Tomb - A Nordic barrow where the Hillgrund family dead are interred.,,Hillgrund's Tomb,
Coming of Age,Help a daring adventurer and her companion retrieve their riches.,Salma,Dungeon Quests,"Ironbind Barrow - A Nordic ruin which contains a word wall for the Become Ethereal shout, and the tomb of a long dead warlord.",,Ironbind Barrow,
Mistwatch,Help Christer locate his kidnapped wife Fjola.,Christer,Dungeon Quests,Mistwatch - A fort located at the northern base of the mountains on the border of the Rift and Eastmarch.,,Mistwatch,
Moss Mother Cavern,Help an injured hunter avenge his fallen companions.,Valdr,Dungeon Quests,"Moss Mother Cavern - A small, open-ceiling, cavernous grove lush with flora, located northwest of Half-Moon Mill.",,Moss Mother Cavern,
Lair's Retreat,Retrieve the Longhammer from a fallen bandit.,,Dungeon Quests,Liar's Retreat  - A small underground cellar which is located northwest of Broken Tower Redoubt and northeast of Karthwasten.,,Liar's Retreat,
Telrav's Request,Escort Telrav back to his camp in Nilheim.,Telrav,Dungeon Quests,Nilheim - A tower east-northeast of Ivarstead containing disguised bandits.,,Nilheim,
Ragnvald,Discover the secrets of Ragnvald.,Ragnvald,Dungeon Quests,Ragnvald - A Nordic ruin north of Markarth containing draugr.,,Ragnvald,
Rebel's Cairn,Find Red Eagle's sword.,Legend of Red Eagle,Dungeon Quests,Rebel's Cairn - A cave located in The Reach between the Sundered Towers and Bleakwind Bluff.,,Rebel's Cairn,
Robber's Gorge,Find the treasure of Robber's Gorge.,,Dungeon Quests,Robber's Gorge - A bandit camp spanning the road from Rorikstead to Dragon Bridge.,,Robber's Gorge,
Lifting the Shroud,Investigate the barrow outside of Ivarstead.,Wilhelm,Dungeon Quests,Shroud Hearth Barrow - An ancient Nordic ruin located just northeast of Ivarstead.,,Shroud Hearth Barrow,
The Savior of Selveni Nethri,Help a necromancer escape from Southfringe Sanctum.,Selveni Nethri,Dungeon Quests,Southfringe Sanctum - A remote snowy cave that is home to the conjurer Bashnag and his coven.,,Southfringe Sanctum,
Sleeping Tree Cave,Question Ysolda about a note found on a dead Orc.,Note on Ulags corpse.,Dungeon Quests,Sleeping Tree Cave - A giant camp where the Sleeping Tree is located. It is situated almost due west of Western Watchtower.,,Sleeping Tree Cave,
