Harmony,Illusion,(2) - Apprentice,1220,Creatures and people up to level 25 nearby won't fight for 60 seconds,Purchase at CW afterIllusion Ritual Spell quest,000A271A,
Rout,Illusion,(2) - Apprentice,653,Creatures and people up to level 20 flee from combat for 30 sec,"Purchase at CW
(Must be level 60 Illusion)",000A2718,
Calm,Illusion,(3) - Adept,91,Creatures and people up to level 9 won't fight for 30 seconds,"Purchase at UK, FH, DR,WH, BP, CW, PK, MK",000A2711,
Muffle,Illusion,(3) - Adept,88,Allows player to move more quietly for 180 seconds,"Purchase at UK, FH, DR,WH, BP, CW, PK, MK",000A270F,
Rally,Illusion,(3) - Adept,300,Targets won't flee for 60 seconds and boosts player's health and stamina,"Purchase at BP, CW",000A2713,
Invisibility,Illusion,(4) - Expert,625,Caster is invisible (but can still be heard) for 30 seconds; activating an object or attacking will break the spell,Purchase at CW,000A2715,
Mayhem,Illusion,(4) - Expert,1250,Creatures and people up to level 25 will attack anyone nearby for 60 seconds,Purchase at CW afterIllusion Ritual Spell quest,000A2719,
Courage,Illusion,(5) - Master,46,Target won't flee for 60 seconds and gains some extra health and stamina,"Purchase at UK, FH, DR,WH, FH, BP, CW, PK, MK

Find in Treva's Watch",0009E2AD,
Frenzy,Illusion,(5) - Master,330,Creatures and people up to level 14 will attack anyone nearby,"Purchase at BP, CW",000A2714,
Frenzy Rune (DB),Illusion,(5) - Master,310,(DB) Targets up to level 20 that fail to resist are frenzied for 30 seconds,,,
Greater Ward,Restoration,(1) - Novice,341,Increases armor rating by 80 points and negates up to 80 points of spell damage or effects,Purchase at CW,000A2722,
Grand Healing,Restoration,(2) - Apprentice,680,Heals everyone (including enemies) close to caster (up to 300 points),Purchase at CW,000DD643,
Guardian Circle,Restoration,(2) - Apprentice,1220,Undead up to level 35 entering the circle will flee; caster heals 20/s,Purchase at CW afterRestoration Ritual Spellquest,000FDE7B,
Heal Undead (DG),Restoration,(2) - Apprentice,370,"(DG) Heals the undead target 75 points, but not the living, atronachs or machines",,,
Healing Hands,Restoration,(2) - Apprentice,89,"Heals target 10/s, but not undead, atronachs, or machines","Purchase at UK, FH, DR,WH, FH, BP, CW, PK, MK
Rewarded by Marise Aravel after doing her quest",000A271E,
Repel Undead,Restoration,(2) - Apprentice,655,Affected undead to level 16 flee for 30 seconds,Purchase at CW,000A2726,
Bane of the Undead,Restoration,(3) - Adept,1200,Sets undead up to level 30 on fire and makes them flee for 30 seconds,Restoration Ritual Spellquest reward,000DD647,
Close Wounds,Restoration,(3) - Adept,360,Heals caster 100 points of health,Purchase at CW,0010F64D,
Heal Other,Restoration,(3) - Adept,300,"Heals the target 75 points of health, but not undead, atronachs, or machines","Purchase at CW

Find in Shalidor's Maze",000A2727,
Lesser Ward,Restoration,(3) - Adept,45,Increases armor rating by 40 points and negates up to 40 points of spell damage or effects,"Purchase at UK, FH, DR,WH, FH, RT, BP, CW, PK,MK

Find in Alftand Animonculory",0009E2AE,
Poison Rune (DB),Restoration,(3) - Adept,290,(DB) Targets that fail to resist take 3 points of poison damage per second for 30 seconds,,,
Steadfast Ward,Restoration,(3) - Adept,92,Increases armor rating 60 / negates up to 60 points spell damage or effects,"Purchase at UK, FH, DR,WH, FH, BP, CW, PK, MK

Find in Labyrinthian",000A2720,
Stendarr's Aura (DG),Restoration,(3) - Adept,335,"(DG) For 60 seconds, undead in melee range take 10 points sun damage per second",,,
Turn Undead,Restoration,(3) - Adept,323,Undead to level 13 flee for 30 seconds,Purchase at CW,000A2721,
Vampire's Bane (DG),Restoration,(3) - Adept,340,(DG) Sunlight explosion that does 40 points of damage in a 15 foot radius to undead,,,
Circle of Protection,Restoration,(4) - Expert,650,Undead up to level 20 entering the circle will flee,Purchase at CW,000A2728,
Fast Healing,Restoration,(4) - Expert,94,Instantly heals caster 50 points,"Purchase at UK, FH, DR,WH, FH, BP, CW, PK, MK",000A271D,
Necromantic Healing (DG),Restoration,(4) - Expert,115,"(DG) Heals the undead target 10 points per second, but not the living, atronachs or machines",,,
Repel Lesser Undead,Restoration,(4) - Expert,333,Affected undead to level 8 flee for 30 seconds,Purchase at CW,000A2725,
Sun Fire (DG),Restoration,(4) - Expert,80,(DG) Ball of sunlight that does 25 points of damage to undead,,,
Turn Greater Undead,Restoration,(4) - Expert,664,Undead to level 21 flee for 30 seconds,Purchase at CW,000A2729,
Turn Lesser Undead,Restoration,(4) - Expert,89,Undead to level 6 flee for 30 seconds,"Purchase at UK, FH, DR,WH, FH, BP, CW, PK, MK",000A271F,
Healing,Restoration,(5) - Master,50,Heals caster 10/s,"Purchase at UK, FH, DR,WH, FH, BP, CW, PK, MK",0009E2AF,
